id,name,recipe_url
3110,Tijuana Pharmacist,/cocktail/tijuana-pharmacist
3111,Tiki Wheat,/cocktail/tiki-wheat
3112,Timbal Manhattan,/cocktail/timbal-manhattan
3113,Tin City Sazerac,/cocktail/tin-city-sazerac
3114,Tiquirí,/cocktail/tiquiri
3115,Tiki Diki,/cocktail/tiki-diki
3116,Tilting Windmills,/cocktail/tilting-windmills
3117,Tin Can Telephone,/cocktail/tin-can-telephone
3118,Tipperary (Irish Whiskey),/cocktail/tipperary-irish-whiskey
3119,To Be Continued,/cocktail/be-continued
3120,To Byrrh or not to Byrrh,/cocktail/byrrh-or-not-byrrh
3121,Tobacco Road #1,/cocktail/tobacco-road-1
3122,Tobago Flip,/cocktail/tobago-flip
3123,"Toh-may-toe, Toh-mah-toe",/cocktail/toh-may-toe-toh-mah-toe
3124,Tolkien,/cocktail/tolkien
3125,To the Point,/cocktail/point
3126,Tobacco Road #2,/cocktail/tobacco-road-2
3127,Toe Meets Leather,/cocktail/toe-meets-leather
3128,The Tokyo Dagger,/cocktail/tokyo-dagger
3129,Tom Bomb,/cocktail/tom-bomb
3130,Tom Collins,/cocktail/tom-collins
3131,Tomato Kiss,/cocktail/tomato-kiss
3132,Tommy's Margarita,/cocktail/tommys-margarita
3133,Tongue Thai'd,/cocktail/tongue-thaid
3134,Tony Chestnut,/cocktail/tony-chestnut
3135,Tom Crean,/cocktail/tom-crean
3136,Tommy Appleseed,/cocktail/tommy-appleseed
3137,Tommy and the Ron Dels,/cocktail/tommy-and-ron-dels
3138,Tongue Twister,/cocktail/tongue-twister
3139,Too many reasons,/cocktail/too-many-reasons
3140,Tooth & Nail,/cocktail/tooth-nail
3141,Toreador,/cocktail/toreador
3142,Town Crier,/cocktail/town-crier
3143,Towsey Typhoon,/cocktail/towsey-typhoon
3144,Trafalgar,/cocktail/trafalgar
